PointID,X,Y,Z
193,-0.0012941,0.00482963,0.01125
194,-0.0025,0.00433013,0.000625
195,-0.0025,0.00433013,0.00125
196,-0.0025,0.00433013,0.001875
197,-0.0025,0.00433013,0.0025
198,-0.0025,0.00433013,0.003125
199,-0.0025,0.00433013,0.00375
200,-0.0025,0.00433013,0.004375
201,-0.0025,0.00433013,0.005
202,-0.0025,0.00433013,0.005625
203,-0.0025,0.00433013,0.00625
204,-0.0025,0.00433013,0.006875
205,-0.0025,0.00433013,0.0075
206,-0.0025,0.00433013,0.008125
207,-0.0025,0.00433013,0.00875
208,-0.0025,0.00433013,0.009375
209,-0.0025,0.00433013,0.01
210,-0.0025,0.00433013,0.010625
211,-0.0025,0.00433013,0.01125
212,-0.00353553,0.00353553,0.000625
213,-0.00353553,0.00353553,0.00125
214,-0.00353553,0.00353553,0.001875
215,-0.00353553,0.00353553,0.0025
216,-0.00353553,0.00353553,0.003125
217,-0.00353553,0.00353553,0.00375
218,-0.00353553,0.00353553,0.004375
219,-0.00353553,0.00353553,0.005
220,-0.00353553,0.00353553,0.005625
221,-0.00353553,0.00353553,0.00625
222,-0.00353553,0.00353553,0.006875
223,-0.00353553,0.00353553,0.0075
224,-0.00353553,0.00353553,0.008125
225,-0.00353553,0.00353553,0.00875
226,-0.00353553,0.00353553,0.009375
227,-0.00353553,0.00353553,0.01
228,-0.00353553,0.00353553,0.010625
229,-0.00353553,0.00353553,0.01125
230,-0.00433013,0.0025,0.000625
231,-0.00433013,0.0025,0.00125
232,-0.00433013,0.0025,0.001875
233,-0.00433013,0.0025,0.0025
234,-0.00433013,0.0025,0.003125
235,-0.00433013,0.0025,0.00375
236,-0.00433013,0.0025,0.004375
237,-0.00433013,0.0025,0.005
238,-0.00433013,0.0025,0.005625
239,-0.00433013,0.0025,0.00625
240,-0.00433013,0.0025,0.006875
241,-0.00433013,0.0025,0.0075
242,-0.00433013,0.0025,0.008125
243,-0.00433013,0.0025,0.00875
244,-0.00433013,0.0025,0.009375
245,-0.00433013,0.0025,0.01
246,-0.00433013,0.0025,0.010625
247,-0.00433013,0.0025,0.01125
248,-0.00482963,0.0012941,0.000625
249,-0.00482963,0.0012941,0.00125
250,-0.00482963,0.0012941,0.001875
251,-0.00482963,0.0012941,0.0025
252,-0.00482963,0.0012941,0.003125
253,-0.00482963,0.0012941,0.00375
254,-0.00482963,0.0012941,0.004375
255,-0.00482963,0.0012941,0.005
256,-0.00482963,0.0012941,0.005625
257,-0.00482963,0.0012941,0.00625
258,-0.00482963,0.0012941,0.006875
259,-0.00482963,0.0012941,0.0075
260,-0.00482963,0.0012941,0.008125
261,-0.00482963,0.0012941,0.00875
262,-0.00482963,0.0012941,0.009375
263,-0.00482963,0.0012941,0.01
264,-0.00482963,0.0012941,0.010625
265,-0.00482963,0.0012941,0.01125
266,-0.00482963,-0.0012941,0.000625
267,-0.00482963,-0.0012941,0.00125
268,-0.00482963,-0.0012941,0.001875
269,-0.00482963,-0.0012941,0.0025
270,-0.00482963,-0.0012941,0.003125
271,-0.00482963,-0.0012941,0.00375
272,-0.00482963,-0.0012941,0.004375
273,-0.00482963,-0.0012941,0.005
274,-0.00482963,-0.0012941,0.005625
275,-0.00482963,-0.0012941,0.00625
276,-0.00482963,-0.0012941,0.006875
277,-0.00482963,-0.0012941,0.0075
278,-0.00482963,-0.0012941,0.008125
279,-0.00482963,-0.0012941,0.00875
280,-0.00482963,-0.0012941,0.009375
281,-0.00482963,-0.0012941,0.01
282,-0.00482963,-0.0012941,0.010625
283,-0.00482963,-0.0012941,0.01125
284,-0.00482963,-0.0012941,0.011875
285,-0.00433013,-0.0025,0.000625
286,-0.00433013,-0.0025,0.00125
287,-0.00433013,-0.0025,0.001875
288,-0.00433013,-0.0025,0.0025
289,-0.00433013,-0.0025,0.003125
290,-0.00433013,-0.0025,0.00375
291,-0.00433013,-0.0025,0.004375
292,-0.00433013,-0.0025,0.005
293,-0.00433013,-0.0025,0.005625
294,-0.00433013,-0.0025,0.00625
295,-0.00433013,-0.0025,0.006875
296,-0.00433013,-0.0025,0.0075
297,-0.00433013,-0.0025,0.008125
298,-0.00433013,-0.0025,0.00875
299,-0.00433013,-0.0025,0.009375
300,-0.00433013,-0.0025,0.01
301,-0.00433013,-0.0025,0.010625
302,-0.00433013,-0.0025,0.01125
303,-0.00433013,-0.0025,0.011875
304,-0.00353553,-0.00353553,0.000625
305,-0.00353553,-0.00353553,0.00125
306,-0.00353553,-0.00353553,0.001875
307,-0.00353553,-0.00353553,0.0025
308,-0.00353553,-0.00353553,0.003125
309,-0.00353553,-0.00353553,0.00375
310,-0.00353553,-0.00353553,0.004375
311,-0.00353553,-0.00353553,0.005
312,-0.00353553,-0.00353553,0.005625
313,-0.00353553,-0.00353553,0.00625
314,-0.00353553,-0.00353553,0.006875
315,-0.00353553,-0.00353553,0.0075
316,-0.00353553,-0.00353553,0.008125
317,-0.00353553,-0.00353553,0.00875
318,-0.00353553,-0.00353553,0.009375
319,-0.00353553,-0.00353553,0.01
320,-0.00353553,-0.00353553,0.010625
321,-0.00353553,-0.00353553,0.01125
322,-0.00353553,-0.00353553,0.011875
323,-0.0025,-0.00433013,0.000625
324,-0.0025,-0.00433013,0.00125
325,-0.0025,-0.00433013,0.001875
326,-0.0025,-0.00433013,0.0025
327,-0.0025,-0.00433013,0.003125
328,-0.0025,-0.00433013,0.00375
329,-0.0025,-0.00433013,0.004375
330,-0.0025,-0.00433013,0.005
331,-0.0025,-0.00433013,0.005625
332,-0.0025,-0.00433013,0.00625
333,-0.0025,-0.00433013,0.006875
334,-0.0025,-0.00433013,0.0075
